Nombre,Marca,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Batería,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua
celular,Xiaomi,176464,13604.88686258244,212.933555444528,2012,,,,,16GB,128GB,IP68
celular,Apple,5685398,33208.00013208598,412.13743089348,2023,,,,NFC,16GB,128GB,
cargador,Belkin,4487868,10721.486467864626,72.3966858153338,2022,,,,,,,
televisores,LG,5540467,46603.8187792072,85388.6760247724,2005,,1080p,LED,,,,
celular,Xiaomi,3275467,42364.965210471346,427.1585686126271,2023,8289.0,,,,4GB,1TB,IP68
smart watch,Fitbit,9106623,49075.56572706667,61.0824107838012,2010,9946.0,,LED,NFC,,,None
cpu,IBM,4811303,40310.94359229478,12225.42454723566,2007,,,,,,,
smart watch,Fitbit,4276735,8588.4400467739,84.11963939921303,2021,2426.0,,,4G,,,None
lavadora,Samsung,8521708,4576.468183291648,146441.68818865324,2005,,,,,,,
parlante,Sony,6740565,35389.6604625481,1220.4234407364197,2008,,,,,,,
cpu,IBM,1481511,30956.810415932145,12769.421648150892,2011,,,,,,,
cargador,Belkin,3147821,25712.177986338847,147.22262287348968,2003,,,,,,,
nevera,LG,639732,3282.1221889442504,233563.27188139188,2020,,,,,,,
laptop,Dell,7918635,9805.244525896951,5781.978351460688,2008,,,LED,,32GB,,
smart watch,Apple,1286370,6253.2060847768,146.60945657585688,2014,,,LCD,4G,,,None
lavadora,Samsung,9021370,33082.143403208116,121276.10091999146,2020,,,,,,,
mouse,Microsoft,6848219,19775.029029651836,292.3316293353316,2007,,,,,,,
laptop,Dell,3663174,13982.017446344771,6528.562336661032,2007,,,OLED,Bluetooth,32GB,64GB,
cpu,AMD,6763952,48454.953259302696,14181.190588313626,2000,,,,,,,
laptop,HP,2167171,36345.60537820904,6067.795044985831,2022,,,LED,,4GB,512GB,
monitor,Dell,4440908,9610.386694138513,13720.557082530275,2003,,,LCD,,,,
mouse,Microsoft,5569302,34839.86971688271,270.9306959667929,2007,,,,,,,
monitor,Samsung,1178619,9267.9760887127,15368.952720301631,2021,,1080p,LCD,,,,
mouse,HP,6961480,27163.14685584706,172.210380233432,2006,,,,,,,
secadora,Bosch,1595374,21518.518078360874,125224.76082848017,2015,,,,,,,
laptop,Lenovo,9201318,40447.14748792213,4759.624543379021,2003,,,LED,5G,16GB,256GB,
televisores,Samsung,4500175,6657.96548177676,58085.98092257101,2009,,4K,LED,,,,
cpu,IBM,3969767,48928.5725146912,7914.22471024436,2010,,,,,,,
lavadora,Samsung,385600,17418.600724121126,135027.58777796483,2017,,,,,,,
monitor,HP,4456608,34739.93467401655,12565.001003913034,2008,,4K,LCD,,,,
televisores,TCL,6236407,31107.27910284197,99428.93262109955,2019,,,LCD,,,,
mouse,Logitech,9574187,49220.43601223884,364.19159803010984,2002,,,,,,,
laptop,Apple,1398400,1467.191101652691,4621.13059872456,2005,,,,5G,16GB,256GB,
smart watch,Samsung,5054633,49713.133184747974,193.49367974380775,2000,2358.0,,LCD,NFC,,,IP67
tablet,Samsung,2381255,37216.69685660483,396.1459329963666,2007,,,LCD,WiFi,32GB,256GB,
audifonos,Sony,9277243,33052.980109144504,402.9835615158615,2006,,,,NFC,,,
televisores,Sony,2344673,22081.703374790573,194465.5953421584,2018,,1080p,,,,,
laptop,HP,1164267,27963.20921895439,4413.3236411547605,2017,7958.0,,OLED,,16GB,512GB,
parlante,JBL,3956567,38015.755039236836,3607.5875190718875,2018,,,,4G,,,
tablet,Amazon,6077726,4788.280594422946,374.8028535212993,2000,6428.0,,OLED,NFC,8GB,128GB,
smart watch,Fitbit,8011988,18700.706551832212,69.8803626658177,2013,,,OLED,,,,IP68
teclado,Logitech,3973297,39670.935723575276,1345.208749549342,2022,,,,,,,
celular,Xiaomi,2637162,35332.82829340144,199.34997883085626,2019,,,,,32GB,,None
mouse,HP,2150281,24279.639869957446,437.22651573041094,2011,,,,,,,
televisores,Samsung,3037202,12396.744997546102,106450.98573390463,2006,,1080p,,,,,
tablet,Samsung,3504732,20063.49002247841,354.26682714577976,2000,4005.0,,OLED,NFC,4GB,256GB,
televisores,LG,2057397,35926.93073294419,177167.79168063722,2008,,4K,OLED,,,,
parlante,LG,7444874,42271.663749230815,3307.2896927999677,2020,,,,NFC,,,
cargador,Samsung,3373298,9263.887550079706,170.13785862108375,2005,,,,,,,
parlante,JBL,9378975,47376.246132693,2054.2036238880214,2016,,,,5G,,,
televisores,TCL,1387960,46510.620480909085,198486.17343781714,2016,,8K,LCD,,,,
celular,Xiaomi,6268822,26710.765576590624,493.065452194242,2014,,,,,,64GB,IP67
lavadora,Samsung,5232470,22685.814434937365,143700.7251348003,2013,,,,,,,
laptop,HP,5574186,28852.901658078317,3907.2348324383865,2016,,,OLED,5G,32GB,128GB,
camara,Canon,9766674,21936.504763165853,4829.246389640112,2002,,,,,,,
cargador,Apple,424660,16859.456775013263,199.70822325904606,2021,,,,,,,
audifonos,Bose,4907849,21994.740737872944,127.65448814818421,2002,,,,WiFi,,,
tablet,Huawei,6617821,8981.456823390296,651.1537690457421,2020,2823.0,,LED,Bluetooth,16GB,512GB,
mouse,HP,3491522,36464.92393050658,220.05402266623304,2022,,,,,,,
tablet,Huawei,100225,10432.741469865536,421.46092970940424,2019,1748.0,,LED,Bluetooth,,128GB,
secadora,LG,5871846,15069.132600103523,118388.09723138907,2000,,,,,,,
camara,Nikon,8875813,20040.351386043803,1292.2282004551303,2020,,1080p,,,,,
monitor,Dell,1273657,38644.81898297417,18487.309336395716,2004,,8K,LED,,,,
monitor,HP,8258489,44531.94766814213,7086.9851747380835,2002,,,LED,,,,
smart watch,Garmin,259418,16164.942865864032,130.38665444695144,2001,,,,4G,,,IP68
secadora,Whirlpool,3930225,29216.255289880366,117160.62881698989,2001,,,,,,,
teclado,Logitech,9195437,48044.10771304296,1542.6381862028416,2006,,,,,,,
laptop,HP,3004232,5835.499262083389,2220.296063595615,2007,4531.0,,LCD,5G,16GB,,
mouse,HP,7049278,3276.661329158105,365.0702499485281,2013,,,,,,,
monitor,LG,1871969,27418.042031372657,5742.959044314024,2018,,,LED,,,,
mouse,Microsoft,2921802,5850.332567129621,259.4843239011742,2011,,,,,,,
monitor,LG,1110768,39719.36439577899,15644.748921326836,2019,,4K,LED,,,,
celular,Xiaomi,73932,39415.989666472684,168.19862360088902,2003,9623.0,,,Bluetooth,16GB,512GB,IP67
celular,Apple,4132434,33359.32553849416,313.401293913494,2005,,,,5G,32GB,512GB,IP68
tablet,Huawei,833734,47219.136436358924,449.90225297105707,2023,,,LED,NFC,4GB,1TB,
tablet,Apple,6267436,6394.248483145487,257.15923697221365,2010,1207.0,,,4G,4GB,64GB,
laptop,Dell,163487,34902.94264513345,6703.073785430982,2012,,,OLED,,16GB,256GB,
parlante,Bose,9557404,4807.665167303446,2621.0524530174166,2009,,,,NFC,,,
laptop,Lenovo,7198789,41679.90241297866,6959.544515961906,2021,9587.0,,LED,,4GB,128GB,
monitor,LG,809850,10713.355940502708,8020.398481506705,2000,,1080p,,,,,
teclado,Corsair,4954603,373.74492997181824,1573.6507712251714,2004,,,,,,,
audifonos,Sony,5840174,32601.146966698263,248.954655278818,2008,,,,5G,,,
secadora,Bosch,5903805,21331.416328305637,139671.0094202271,2016,,,,,,,
monitor,Dell,9959129,20452.53285307368,16586.21314091693,2010,,1080p,OLED,,,,
teclado,Microsoft,1768333,6133.1945172763,2272.9715532248147,2007,,,,,,,
secadora,Bosch,8045424,40692.51284276407,131292.82849142308,2006,,,,,,,
celular,Huawei,867841,14829.20555205235,348.5285997095608,2010,8001.0,,,WiFi,16GB,512GB,None
parlante,JBL,6758987,23331.645027212842,2315.6883755746385,2013,,,,,,,
laptop,Dell,2237035,42321.45082357023,3021.523828375147,2009,5065.0,,OLED,WiFi,4GB,1TB,
nevera,GE,5297554,48069.982045622965,188919.83272117455,2009,,,,,,,
parlante,JBL,4689864,17145.04836546275,4735.404157560333,2000,,,,Bluetooth,,,
nevera,LG,6661748,14153.947284862194,258837.36493958146,2012,,,,,,,
cpu,IBM,3809005,16094.092796316832,9734.669444664534,2023,,,,,,,
lavadora,LG,2865029,2510.458745929554,140582.48965201806,2020,,,,,,,
audifonos,Beats,7287844,38208.67989729475,79.91445090079289,2021,,,,NFC,,,
camara,Panasonic,839576,48527.119941028235,3526.539550793887,2023,,1080p,,,,,
lavadora,Samsung,4714347,34081.916105749755,143004.1293225471,2020,,,,,,,
teclado,Razer,1431857,8840.07558505946,739.1711765146712,2018,,,,,,,
audifonos,Bose,463883,4587.458604713983,166.56335250028172,2006,,,,Bluetooth,,,
tablet,Huawei,7618772,18570.901085460864,447.7792079718472,2023,,,LCD,4G,,64GB,
televisores,LG,4399320,32374.010532039745,53113.40470613761,2016,,1080p,OLED,,,,
cargador,Samsung,2312578,38669.665467998326,127.3140469969545,2010,,,,,,,
nevera,LG,5495339,42630.063553776,235497.5286149141,2001,,,,,,,
cargador,Anker,931766,7810.909722976432,156.52628064527636,2018,,,,,,,
celular,Huawei,8644608,17192.25522092505,186.4607107408593,2006,3975.0,,,NFC,32GB,64GB,IP67
secadora,Samsung,8842805,29703.730735357298,102892.24087557297,2023,,,,,,,
nevera,LG,7106446,10988.919270073935,230792.37090161978,2004,,,,,,,
televisores,Sony,7111732,34800.85839294164,132023.21054913243,2023,,4K,,,,,
camara,Sony,7437044,13690.169072120361,3717.031936428544,2022,,,,,,,
monitor,LG,2330325,12202.547567398873,19015.676565144346,2007,,8K,LED,,,,
secadora,Bosch,8267033,27597.040211582556,104996.20318949095,2013,,,,,,,
tablet,Apple,7588391,24726.272236850913,516.2290927498007,2012,9137.0,,LCD,Bluetooth,4GB,128GB,
monitor,HP,7041312,36741.88881859458,13725.361010037828,2000,,1080p,OLED,,,,
laptop,Lenovo,6920710,1867.952505769019,3291.9798874329726,2023,,,,NFC,,,
laptop,Lenovo,9680099,17211.925574509085,6011.703759007308,2012,,,OLED,5G,,64GB,
celular,Xiaomi,5436854,519.773012513479,482.76767937925945,2009,,,,4G,16GB,,
tablet,Samsung,1462974,6035.873057249946,596.0013911023168,2017,,,OLED,,8GB,64GB,
camara,Nikon,5171936,5030.210227537066,3854.863183960589,2022,,,,,,,
parlante,Bose,5712946,2294.751965036357,1711.7606863440424,2022,,,,5G,,,
cpu,Intel,5061243,11170.496310948734,9280.919524926256,2021,,,,,,,
monitor,LG,7506220,16245.763928820597,16039.393884115572,2014,,8K,OLED,,,,
parlante,JBL,4655455,43445.15947282086,2190.4513394804494,2008,,,,Bluetooth,,,
cpu,Intel,2597862,10779.053760735866,6075.434737453801,2020,,,,,,,
smart watch,Samsung,6553111,21011.718702298407,109.19446103610906,2001,5152.0,,,,,,None
lavadora,Whirlpool,6723777,38244.77517504873,119446.54952489199,2004,,,,,,,
secadora,Bosch,2849966,42158.72703154581,134474.66394054412,2018,,,,,,,
cpu,AMD,1446099,48095.277557528825,10573.647244795307,2013,,,,,,,
lavadora,LG,8442106,20347.9756284734,143479.54875407266,2016,,,,,,,
celular,Huawei,606029,39041.69162358121,370.4398276387607,2011,,,,4G,,512GB,IP67
lavadora,Samsung,1901915,14145.617197475929,128162.97569591676,2020,,,,,,,
laptop,Dell,324517,13581.903109817707,3215.9774378848815,2009,,,,WiFi,16GB,256GB,
cargador,Apple,704767,45494.01155847996,126.14869089655649,2013,,,,,,,
cpu,IBM,892304,34600.63463746205,18238.060386652145,2020,,,,,,,
celular,Samsung,6658545,18893.060884196315,196.21648466419367,2005,,,,4G,4GB,,IP67
secadora,Bosch,4328796,7939.166203357292,145181.86302881216,2021,,,,,,,
lavadora,Bosch,9294619,2518.630020953455,122697.62717981584,2004,,,,,,,
televisores,Sony,1736600,22320.78827965385,79051.75603165216,2011,,4K,LCD,,,,
monitor,HP,7864084,18210.242697966332,13036.282063145243,2010,,1080p,,,,,
televisores,LG,5253265,3933.0686196463407,51082.0343835059,2017,,1080p,OLED,,,,
secadora,Whirlpool,5797713,45442.35274438103,149447.24440483647,2005,,,,,,,
camara,Panasonic,2799730,48749.11591052121,1612.3695089384832,2020,,8K,,,,,
televisores,Samsung,5876067,4586.411959997563,140739.64399410124,2008,,,LED,,,,
televisores,TCL,2884797,3789.6988511531563,137988.71453863644,2016,,8K,LED,,,,
secadora,LG,5691651,7301.970589488204,128160.80204894769,2002,,,,,,,
tablet,Samsung,2330937,37590.706697463655,433.6882224443609,2011,9109.0,,LCD,4G,,1TB,
celular,Apple,8333805,7378.686224213202,259.89149818716845,2019,6134.0,,,4G,16GB,256GB,IP67
camara,Sony,7044170,47262.31767135692,1009.4312454709184,2022,,1080p,,,,,
cpu,Intel,293756,40243.01408695905,12056.300364473647,2010,,,,,,,
smart watch,Garmin,4049306,46769.52470158042,74.94190540617564,2012,,,OLED,WiFi,,,IP67
nevera,Whirlpool,6930953,31474.632723166334,283743.3653036951,2010,,,,,,,
mouse,Razer,1115694,39329.73833569857,463.2270793320376,2021,,,,,,,
camara,Sony,5045980,17567.608876279694,3856.738509962529,2011,,1080p,,,,,
cpu,Qualcomm,8960214,3521.4294972714115,14783.32413499991,2016,,,,,,,
secadora,Bosch,8954944,45389.94556567581,139350.68842300342,2009,,,,,,,
parlante,JBL,202272,41718.33267164571,2972.252553776655,2011,,,,,,,
audifonos,Sony,3666385,9775.470493028446,140.30852612281262,2008,,,,4G,,,
cpu,IBM,4062988,29995.123137054674,12725.337136649898,2002,,,,,,,
televisores,Samsung,2944327,27090.68323722719,106141.20936096911,2005,,8K,LCD,,,,
nevera,GE,6993369,29734.867987885642,255118.796925502,2022,,,,,,,
monitor,Dell,2279233,732.6342770755982,9904.255894131478,2000,,4K,,,,,
cpu,Intel,3983157,29790.746254118887,14683.122907736713,2004,,,,,,,
mouse,Microsoft,338669,23938.313102979177,367.8915049125448,2022,,,,,,,
teclado,Corsair,312037,20355.24778936699,1609.1131378631874,2013,,,,,,,
camara,Nikon,3362823,21716.52789130543,1327.7815683184658,2017,,4K,,,,,
laptop,Lenovo,7080929,10876.387051803053,3698.884828654843,2016,3522.0,,OLED,,,512GB,
secadora,Whirlpool,4005288,15960.4278991801,132618.95759936507,2004,,,,,,,
audifonos,Beats,4064808,7349.206010411421,195.38796801271656,2014,,,,,,,
cargador,Belkin,6363591,7671.625116944786,101.60922004210713,2001,,,,,,,
nevera,GE,4645765,9783.227350938376,172552.26704305818,2009,,,,,,,
tablet,Apple,1201725,18664.200029332176,293.62440481425944,2000,4298.0,,LED,5G,32GB,256GB,
mouse,HP,2905771,33655.83079369432,453.08993054463593,2004,,,,,,,
lavadora,Samsung,758362,1359.460936837442,137149.5943174003,2016,,,,,,,
camara,Canon,6245938,39974.69824469857,3441.912325862278,2008,,,,,,,
smart watch,Samsung,4905813,34339.611731346646,60.67232190369429,2021,,,OLED,5G,,,IP67
tablet,Samsung,9847386,32001.156271213054,339.6531358931329,2007,,,LCD,,8GB,128GB,
lavadora,Whirlpool,6137835,7495.522053172608,110102.52340444598,2011,,,,,,,
camara,Sony,5617738,40368.99176303513,4341.250047608237,2017,,,,,,,
audifonos,Beats,8580827,45274.00695517178,437.3078055872951,2000,,,,4G,,,
tablet,Samsung,9777962,27894.662118651504,468.81130125162247,2005,,,LCD,Bluetooth,,64GB,
laptop,Lenovo,4513525,41514.14331321985,7379.073756951757,2021,,,LCD,,,256GB,
celular,Huawei,4315310,44722.28844464019,291.51346727993234,2022,,,,,32GB,256GB,None
monitor,HP,7787627,33053.773622896915,8820.942180178941,2015,,,OLED,,,,
cpu,Qualcomm,7229082,28686.46934978129,7786.2693410222655,2000,,,,,,,
monitor,Dell,8391329,48229.34032973205,16280.79525124057,2012,,8K,LCD,,,,
parlante,LG,7728659,48551.690696324506,1375.5550522151757,2023,,,,,,,
cargador,Belkin,6856723,31242.36763140961,55.725395705130715,2004,,,,,,,
camara,Canon,1768767,9361.831141033435,2704.1594636457935,2020,,4K,,,,,
mouse,Microsoft,106533,42891.48044864346,354.8034350246653,2006,,,,,,,
televisores,TCL,9195646,16674.00706612733,158636.55062371242,2017,,4K,OLED,,,,
teclado,Logitech,6154771,19717.636439345475,2029.8732556662487,2004,,,,,,,
tablet,Amazon,7951869,4757.118639692258,654.686272027124,2017,1202.0,,OLED,,32GB,128GB,
nevera,LG,5378754,4593.527795131929,222304.85516555916,2009,,,,,,,
parlante,Bose,510531,15060.309731612882,1807.1588129492743,2002,,,,,,,
lavadora,LG,101986,31120.15319577013,116435.6774696564,2015,,,,,,,
nevera,Samsung,2973209,5258.213322761198,215411.62517535785,2000,,,,,,,
televisores,TCL,2627602,40136.1400901414,74144.29477531297,2019,,1080p,,,,,
cargador,Samsung,4032888,23068.895210510807,84.60188844644479,2015,,,,,,,
camara,Nikon,8505936,29498.99916757919,4619.016662844332,2013,,1080p,,,,,
monitor,Dell,1415360,30305.339173265424,14267.525572368819,2012,,1080p,OLED,,,,
audifonos,Sennheiser,7188391,31093.786578238618,62.69215739260102,2014,,,,4G,,,
televisores,LG,5791951,34398.467868915206,196091.6702855022,2011,,,OLED,,,,
camara,Sony,3937455,46663.6632788924,3713.014519152956,2011,,8K,,,,,
tablet,Amazon,2955591,19693.719604821676,311.9693800359775,2020,7132.0,,LED,5G,16GB,512GB,
mouse,Logitech,4483168,14020.146006890285,251.11834542436947,2007,,,,,,,
monitor,HP,7841971,17623.28362330659,6664.569650395491,2023,,4K,LCD,,,,
televisores,Sony,5802735,25143.552932319726,74795.00495204034,2011,,1080p,,,,,
tablet,Huawei,727396,7553.124046426695,637.4311781236936,2010,,,OLED,,8GB,512GB,
televisores,Samsung,2963144,24990.85363364772,173110.3068049276,2022,,8K,OLED,,,,
cargador,Samsung,8403515,39738.54034934422,131.832102605589,2019,,,,,,,
laptop,Apple,2068042,35423.532627757384,2887.6820418218394,2008,3417.0,,OLED,WiFi,4GB,128GB,
celular,Xiaomi,922756,11437.039591125329,222.397009789001,2003,,,,Bluetooth,,128GB,None
mouse,HP,1377608,33243.599147356814,459.9818277729523,2015,,,,,,,
nevera,Samsung,4719516,30662.948969145866,207745.59153696854,2004,,,,,,,
laptop,Dell,1665186,3342.265881152817,4364.021802349543,2000,7611.0,,LED,4G,16GB,128GB,
celular,Apple,8647639,14839.194269149373,253.31878922623758,2019,,,,NFC,8GB,,
lavadora,Whirlpool,3825737,33616.259998424066,100916.07294672562,2014,,,,,,,
laptop,HP,9123534,13471.9107144968,5391.772570545738,2016,,,LCD,WiFi,4GB,256GB,
smart watch,Samsung,8328840,6900.304683226003,60.351212807119296,2009,,,OLED,,,,
secadora,LG,6115781,927.7439104162478,115390.42224755937,2014,,,,,,,
smart watch,Garmin,6832018,9212.70006465186,184.52761386676733,2008,,,OLED,,,,IP67
camara,Nikon,1101867,3334.205446410845,3325.177059008068,2004,,,,,,,
lavadora,Bosch,665650,22649.020967797547,116035.22204636737,2005,,,,,,,
nevera,LG,6304439,20982.742583892217,261423.3284161022,2021,,,,,,,
televisores,Sony,9276266,16803.60990353013,114511.22478483051,2021,,4K,,,,,
nevera,Whirlpool,9814234,29752.094842581628,289425.14057920204,2021,,,,,,,
smart watch,Apple,1527616,14367.613944754763,141.5332020791114,2007,7080.0,,,Bluetooth,,,IP68
celular,Apple,4409622,16280.18080953835,248.57590707485915,2021,,,,,16GB,64GB,IP67
lavadora,Bosch,1060500,49004.81240124212,135981.1535304668,2010,,,,,,,
camara,Panasonic,1567074,45523.34026435734,1799.3338590922542,2005,,4K,,,,,
audifonos,Sennheiser,8364325,2375.4920297307067,306.8867699939531,2009,,,,,,,
mouse,Logitech,3297690,45178.29330565396,271.19971588549373,2017,,,,,,,
mouse,Logitech,7568987,13944.941789350909,479.6580876394353,2004,,,,,,,
camara,Nikon,288329,34015.8201680994,3012.684476332549,2014,,,,,,,
camara,Nikon,351430,44247.45921512576,3998.2278750215273,2018,,1080p,,,,,
camara,Sony,3352762,38353.255956127694,1002.7174033166772,2019,,,,,,,
mouse,Logitech,5664937,16594.013631786307,137.59374688793173,2010,,,,,,,
smart watch,Garmin,7012723,30812.708290648767,108.73038417369935,2022,,,,WiFi,,,IP67
lavadora,Samsung,7115088,39682.35398670084,105995.89664847558,2022,,,,,,,
camara,Nikon,1849303,17992.291982697207,1376.681965232247,2019,,,,,,,
nevera,GE,2052032,6689.810387438234,192766.5863815574,2003,,,,,,,
mouse,HP,6162071,21783.293910885335,146.24594944384074,2009,,,,,,,
nevera,Samsung,2949980,44104.204786197835,260582.43368997407,2023,,,,,,,
nevera,LG,9848544,19283.343280280253,231077.96104154864,2010,,,,,,,
parlante,Bose,3416093,3691.958899323965,1905.5005106495305,2013,,,,NFC,,,
tablet,Apple,8382066,22413.997613951815,417.50355065883616,2000,6619.0,,LCD,,32GB,,
televisores,Samsung,2345577,6348.59521904373,166226.34672318544,2016,,,,,,,
mouse,Razer,6415400,9579.52985217928,380.24145163984764,2011,,,,,,,
laptop,Lenovo,6841759,44023.87851482577,2799.196287522486,2023,5719.0,,,Bluetooth,,64GB,
celular,Xiaomi,1540747,26533.319526086223,414.24639884410095,2013,,,,WiFi,16GB,64GB,None
celular,Xiaomi,154065,7524.620884247294,246.22399164711152,2006,6904.0,,,,4GB,,
cargador,Belkin,4176038,37637.61260994415,61.193598688016564,2005,,,,,,,
monitor,LG,2174559,38348.514247102044,7669.552323710517,2006,,4K,LED,,,,
secadora,LG,4286519,36655.33365015025,121395.55074375399,2016,,,,,,,
cargador,Belkin,153147,22908.153518061557,116.0327687648121,2007,,,,,,,
monitor,LG,4428164,29271.272744987717,9809.702014197475,2014,,,,,,,
tablet,Huawei,274113,6878.5917157628255,402.7474964937354,2019,,,LED,4G,,512GB,
cargador,Anker,2641138,28578.903586410946,138.47396003086882,2001,,,,,,,
audifonos,Sony,3252325,38307.6323124843,289.7750903812449,2015,,,,4G,,,
smart watch,Fitbit,5393433,753.9811351464205,195.44728661548135,2022,2729.0,,,Bluetooth,,,IP67
cargador,Samsung,8810706,41032.72892554569,185.70131393073825,2018,,,,,,,
celular,Huawei,8106713,3289.9398311275236,250.11991924067627,2020,,,,5G,4GB,512GB,
teclado,Microsoft,3922197,40969.07622973848,1096.5795533382739,2000,,,,,,,
mouse,Microsoft,7545111,6260.240934557826,486.6983201193733,2022,,,,,,,
tablet,Samsung,3786901,2422.645110035457,651.7976978266788,2004,,,LCD,,,128GB,
lavadora,LG,2173932,10302.217211167997,104489.0756724437,2020,,,,,,,
mouse,Razer,2756565,28468.631860539048,497.85795141122134,2013,,,,,,,
parlante,LG,8943299,3849.205471292629,2243.228677586263,2006,,,,Bluetooth,,,
nevera,LG,1810717,1061.6894986392642,270751.0378984974,2006,,,,,,,
tablet,Apple,5690717,32138.169088773055,313.1691813589848,2008,1185.0,,OLED,4G,8GB,64GB,
cpu,Qualcomm,9267469,14015.25990034723,16348.130815864273,2018,,,,,,,
mouse,Microsoft,3694995,20855.501518946414,152.77868077243753,2006,,,,,,,
lavadora,LG,690549,47409.277552632346,148982.0293912953,2018,,,,,,,
televisores,Sony,5407162,8189.518946186615,59841.2652520489,2009,,1080p,LED,,,,
nevera,LG,6538891,5567.808649357824,209919.9997890141,2014,,,,,,,
parlante,Sony,4943268,5786.620191064046,2840.9080545320094,2010,,,,5G,,,
mouse,Razer,6679248,9277.357754040755,315.71883639678913,2008,,,,,,,
parlante,Bose,5504335,30599.79194539504,1817.9041766126593,2005,,,,Bluetooth,,,
camara,Nikon,8113435,26446.45328731754,3944.215521164886,2016,,,,,,,
tablet,Apple,9935276,11434.034654797602,398.8509283958758,2018,,,OLED,,8GB,512GB,
audifonos,Sennheiser,9237399,42348.324348290116,162.80503651531893,2015,,,,NFC,,,
cpu,IBM,8812455,14976.962587452497,6316.514268767212,2006,,,,,,,
televisores,LG,7081964,11178.440928356744,159197.53327099647,2008,,4K,LED,,,,
cpu,IBM,834447,33958.77729273048,19709.062819550978,2001,,,,,,,
parlante,Sony,5781258,38175.70354221431,1765.9238775330648,2001,,,,WiFi,,,
monitor,Samsung,9764151,22563.31326496954,18208.544649123825,2009,,1080p,OLED,,,,
cargador,Apple,8236042,36126.841519463225,67.47410122196551,2017,,,,,,,
tablet,Apple,2942960,4384.393429569076,266.92193045658246,2011,,,LED,5G,,,
nevera,LG,1980805,21406.25836752025,161574.2507322937,2023,,,,,,,
celular,Apple,3729658,38240.61899193274,353.2897626709397,2018,9847.0,,,4G,4GB,512GB,None
monitor,Dell,7170861,49165.96197948628,10048.557490053772,2013,,4K,LCD,,,,
audifonos,Bose,3085397,18485.798942438283,331.14306723498396,2006,,,,5G,,,
parlante,LG,1593269,36977.68441116181,3643.6868510867903,2003,,,,4G,,,
teclado,Razer,4314946,46781.280008960355,2143.822549590588,2004,,,,,,,
camara,Sony,2144445,1111.7681342662113,2146.2428200668937,2022,,,,,,,
audifonos,Sennheiser,6138150,37009.94327538095,467.2983283692298,2007,,,,Bluetooth,,,
cargador,Anker,9843803,15009.141643125098,148.05678502953657,2019,,,,,,,
audifonos,Sennheiser,7734309,28039.80612990374,234.6749818283069,2007,,,,5G,,,
smart watch,Fitbit,8072445,25484.48603251111,163.61632048066184,2013,,,,NFC,,,
smart watch,Garmin,2661604,28357.361795668516,174.3804743199846,2013,6045.0,,LCD,5G,,,IP67
mouse,Microsoft,4508006,32047.167325851256,330.83166031066867,2012,,,,,,,
tablet,Samsung,9242959,21602.989026726664,589.7737031448635,2020,4094.0,,LED,Bluetooth,16GB,128GB,
mouse,HP,1856841,24088.3114842192,309.0780731945372,2007,,,,,,,
mouse,HP,2102954,8949.124662076369,286.94376253060193,2021,,,,,,,
camara,Nikon,6097829,14156.03649914854,4143.271128690397,2006,,1080p,,,,,
secadora,Whirlpool,7655582,18112.832859276285,131187.1845077794,2015,,,,,,,
monitor,LG,8498731,24881.773339097235,8040.5180090353,2007,,1080p,LCD,,,,
mouse,HP,1715773,1032.3558366193274,381.90463087768234,2016,,,,,,,
nevera,LG,4303991,13066.064486375952,162075.90040590055,2011,,,,,,,
smart watch,Samsung,437872,43821.254679983766,136.36216569597502,2013,8032.0,,LCD,Bluetooth,,,
tablet,Amazon,8927885,12961.542071555372,599.6827661173843,2001,,,,,32GB,256GB,
celular,Huawei,4294874,3242.225791596215,461.86215560541285,2007,,,,4G,32GB,128GB,
lavadora,Samsung,7665856,22503.53938395882,128435.63315900567,2011,,,,,,,
audifonos,Beats,1666484,19293.007524668643,256.1545389982102,2002,,,,4G,,,
parlante,JBL,6344339,42682.716032142685,3854.390872571487,2019,,,,WiFi,,,
laptop,Apple,656794,36774.367697185226,3434.4005822348895,2016,5649.0,,,,4GB,256GB,
tablet,Apple,6397062,1856.0001111814397,462.189124836189,2001,5285.0,,LED,5G,16GB,64GB,
camara,Canon,8538372,26510.97973306685,3616.6984572053966,2018,,4K,,,,,
nevera,Whirlpool,4299898,44219.57004166887,197221.0381988866,2001,,,,,,,
monitor,LG,8899441,17323.5498862375,16668.738733876315,2016,,,LED,,,,
laptop,Apple,3252632,32285.086742203737,7127.268277793122,2014,,,,4G,32GB,,
parlante,LG,6731295,15415.547041664904,4812.406217878686,2010,,,,WiFi,,,
camara,Sony,1273902,28287.664937280104,1281.6952721322234,2011,,1080p,,,,,
secadora,Whirlpool,7807754,8378.144169367119,103910.1001019565,2021,,,,,,,
nevera,LG,7728295,48042.67862393791,192333.5565420624,2015,,,,,,,
cargador,Samsung,3468621,48919.08660037042,147.46983859935207,2014,,,,,,,
celular,Xiaomi,1533708,43712.9380639088,397.1015415174855,2011,,,,NFC,8GB,,IP67
laptop,Apple,9136510,42260.49131132494,3877.1392171924344,2008,7191.0,,,4G,32GB,256GB,
parlante,JBL,1266654,17894.73917887834,1482.9866277158912,2005,,,,,,,
parlante,Sony,2719212,32525.317214414816,2830.7053691724577,2012,,,,,,,
